iter	Logloss
0	0.6198592307
1	0.5570098034
2	0.5026286799
3	0.4558000796
4	0.4155350957
5	0.3810669147
6	0.3512815242
7	0.3257620403
8	0.30374384
9	0.2847811706
10	0.2682365672
11	0.2540234656
12	0.2417185152
13	0.2311452261
14	0.2219410557
15	0.2139603195
16	0.2068850296
17	0.2006744691
18	0.1953836567
19	0.190754559
20	0.1866347067
21	0.1830310039
22	0.1797534171
23	0.1768847735
24	0.1744488504
25	0.1722363183
26	0.1702108839
27	0.1684750615
28	0.1669697465
29	0.1655148384
30	0.1642845602
31	0.1631907759
32	0.1621458789
33	0.1612418914
34	0.1604609498
35	0.1597316136
36	0.1591207156
37	0.1585906817
38	0.1580678967
39	0.1575952108
40	0.1571569277
41	0.1567748637
42	0.156413996
43	0.1561222569
44	0.1558192885
45	0.1555431994
46	0.1553192199
47	0.1550944065
48	0.1549026273
49	0.1547156262
50	0.1545525552
51	0.1543984329
52	0.1542523065
53	0.1541183562
54	0.1540087522
55	0.1538957777
56	0.1537995893
57	0.1537011773
58	0.1536229616
59	0.1535444893
60	0.1534627022
61	0.1533791981
62	0.1533004977
63	0.1532410781
64	0.1531802712
65	0.1531234352
66	0.1530666614
67	0.1530182025
68	0.1529854589
69	0.1529405181
70	0.1528970037
71	0.1528664356
72	0.1528401394
73	0.1528014374
74	0.1527568869
75	0.1527216369
76	0.1526935089
77	0.1526661954
78	0.1526367212
79	0.1526153807
80	0.1525670143
81	0.152551014
82	0.1525245523
83	0.1525008555
84	0.1524689571
85	0.1524525782
86	0.1524340835
87	0.1524037991
88	0.152381694
89	0.1523552799
90	0.1523464916
91	0.1523086407
92	0.1522930286
93	0.1522753165
94	0.1522568928
95	0.1522337089
96	0.1522166334
97	0.1521981494
98	0.1521771585
99	0.1521766015
100	0.1521587148
101	0.152138332
102	0.1521189334
103	0.152098776
104	0.1520837772
105	0.152066742
106	0.1520539401
107	0.1520467318
108	0.1520370472
109	0.1520280599
110	0.1520106814
111	0.1519986363
112	0.1519675594
113	0.1519491199
114	0.1519407236
115	0.1519263155
116	0.1519150974
117	0.1518933029
118	0.1518816047
119	0.1518739013
120	0.1518650336
121	0.1518481904
122	0.1518481007
123	0.1518435123
124	0.1518393438
125	0.1518310188
126	0.1518183551
127	0.1518149058
128	0.1518057749
129	0.1517968989
130	0.1517805304
131	0.1517670212
132	0.1517548249
133	0.1517395405
134	0.1517287954
135	0.1517236099
136	0.1517175169
137	0.1517085626
138	0.1516959846
139	0.1516901333
140	0.1516815134
141	0.1516701253
142	0.1516637803
143	0.1516580463
144	0.1516493903
145	0.1516423155
146	0.1516343727
147	0.1516206704
148	0.1516138224
149	0.1516069004
150	0.1515979401
151	0.151592113
152	0.1515814412
153	0.1515701506
154	0.1515591351
155	0.1515521665
156	0.1515430304
157	0.1515347262
158	0.151523627
159	0.1515150026
160	0.1515115073
161	0.1515034322
162	0.151494596
163	0.1514859693
164	0.151478438
165	0.1514717406
166	0.1514604424
167	0.1514572857
168	0.1514538989
169	0.1514450899
170	0.1514379119
171	0.1514313037
172	0.1514235895
173	0.1514202861
174	0.1514135875
175	0.1514065549
176	0.1514027806
177	0.1513996428
178	0.1513881069
179	0.1513766327
180	0.1513724585
181	0.1513649819
182	0.1513613626
183	0.1513499502
184	0.151340811
185	0.1513325051
186	0.1513246813
187	0.151318866
188	0.1513133605
189	0.151308251
190	0.1513051129
191	0.1512980755
192	0.1512870374
193	0.1512772479
194	0.1512724998
195	0.1512698538
196	0.1512620417
197	0.1512546366
198	0.1512505491
199	0.1512411241
200	0.1512342136
201	0.1512296762
202	0.1512237952
203	0.1512185369
204	0.1512141434
205	0.1512087329
206	0.1512024821
207	0.1511984299
208	0.1511937331
209	0.1511877043
210	0.151181038
211	0.1511763981
212	0.1511656562
213	0.1511625237
214	0.1511561177
215	0.1511505685
216	0.1511457845
217	0.15114534
218	0.1511365881
219	0.1511305771
220	0.1511220282
221	0.1511166263
222	0.1511081219
223	0.1511040589
224	0.1510979353
225	0.1510930959
226	0.1510899105
227	0.1510848359
228	0.1510801391
229	0.1510772334
230	0.1510726686
231	0.1510656356
232	0.1510606212
233	0.1510529111
234	0.1510490615
235	0.1510422254
236	0.1510362038
237	0.1510293748
238	0.1510242044
239	0.1510123523
240	0.1510058731
241	0.1510024015
242	0.1509969105
243	0.1509910137
244	0.1509883307
245	0.1509805153
246	0.1509637368
247	0.1509586329
248	0.1509540402
249	0.1509445052
250	0.150940543
251	0.1509353542
252	0.1509272249
253	0.1509179252
254	0.150911839
255	0.1509061065
256	0.1509000685
257	0.1508943715
258	0.1508894873
259	0.1508795602
260	0.1508749027
261	0.1508684589
262	0.1508632858
263	0.1508553672
264	0.1508501709
265	0.1508419695
266	0.1508352661
267	0.1508271905
268	0.1508212671
269	0.150816566
270	0.1508116796
271	0.1508018323
272	0.1507957517
273	0.1507908499
274	0.1507849031
275	0.1507799612
276	0.1507726598
277	0.15076742
278	0.1507599753
279	0.1507551602
280	0.1507494732
281	0.150742188
282	0.1507354067
283	0.1507308413
284	0.1507266586
285	0.1507167402
286	0.1507099364
287	0.150702461
288	0.1506982058
289	0.1506899502
290	0.1506838695
291	0.1506760058
292	0.150666446
293	0.1506577955
294	0.1506520411
295	0.150649433
296	0.1506429692
297	0.1506373924
298	0.1506301539
299	0.150623776
300	0.150618017
301	0.1506132756
302	0.1506094721
303	0.1506046122
304	0.1506008301
305	0.1505910896
306	0.1505807108
307	0.1505760314
308	0.1505687635
309	0.1505617011
310	0.1505537921
311	0.1505491631
312	0.150544527
313	0.1505390749
314	0.1505329049
315	0.1505281806
316	0.1505230252
317	0.1505190316
318	0.1505124264
319	0.1505041749
320	0.1504957074
321	0.1504905547
322	0.1504858178
323	0.1504797731
324	0.1504758097
325	0.1504721323
326	0.1504681488
327	0.1504661089
328	0.1504623729
329	0.1504564583
330	0.1504524296
331	0.1504476131
332	0.1504412297
333	0.1504356631
334	0.150432344
335	0.1504277575
336	0.1504192728
337	0.1504141512
338	0.1504090768
339	0.1504045203
340	0.1503979204
341	0.1503931636
342	0.1503872299
343	0.1503815023
344	0.1503731629
345	0.1503651879
346	0.1503599904
347	0.1503540612
348	0.1503482151
